tomar,#toma#,tomo,#tOmu#
gostar,#gosta#,gosto,#gOstu#
levar,#leva#,levo,#lEvu#
mostrar,#mostra#,mostro,#mOstru#
acordar,#akorda#,acordo,#akOrdu#
cortar,#korta#,corto,#kOrtu#
almocar,#aumosa#,almoco,#aumOsu#
pegar,#pega#,pego,#pEgu#
olhar,#olia#,olho,#Oliu#
jogar,#joga#,jogo,#jOgu#
expedir,#espedi#,expeí_o,#espEsu#
entregar,#entrega#,entrego,#entrEgu#
desmedir,#desmedi#,desmeco,#desmEsu#
libertar,#liberta#,liberto,#libErtu#
desdar,#desda#,desdo,#dEsdu#
manifestar,#manifesta#,manifesto,#manifEstu#
estrear,#estrea#,estreio,#estrEiu#
infectar,#infekita#,infecto,#infEkitu#
entregar,#entrega#,entrego,#entrEgu#
poder,#pode#,posso,#pOsu#
informar,#informa#,informo,#infOrmu#
tornar,#torna#,torno,#tOrnu#
tomar,#toma#,tomo,#tOmu#
gostar,#gosta#,gosto,#gOstu#
levar,#leva#,levo,#lEvu#
mostrar,#mostra#,mostro,#mOstru#
acordar,#akorda#,acordo,#akOrdu#
cortar,#korta#,corto,#kOrtu#
almocar,#aumosa#,almoco,#aumOsu#
pegar,#pega#,pego,#pEgu#
olhar,#olia#,olho,#Oliu#
jogar,#joga#,jogo,#jOgu#
expedir,#espedi#,expeí_o,#espEsu#
entregar,#entrega#,entrego,#entrEgu#
desmedir,#desmedi#,desmeco,#desmEsu#
libertar,#liberta#,liberto,#libErtu#
desdar,#desda#,desdo,#dEsdu#
manifestar,#manifesta#,manifesto,#manifEstu#
estrear,#estrea#,estreio,#estrEiu#
infectar,#infekita#,infecto,#infEkitu#
entregar,#entrega#,entrego,#entrEgu#
poder,#pode#,posso,#pOsu#
informar,#informa#,informo,#infOrmu#
tornar,#torna#,torno,#tOrnu#
tomar,#toma#,tomo,#tOmu#
gostar,#gosta#,gosto,#gOstu#
levar,#leva#,levo,#lEvu#
mostrar,#mostra#,mostro,#mOstru#
acordar,#akorda#,acordo,#akOrdu#
cortar,#korta#,corto,#kOrtu#
almocar,#aumosa#,almoco,#aumOsu#
pegar,#pega#,pego,#pEgu#
olhar,#olia#,olho,#Oliu#
jogar,#joga#,jogo,#jOgu#
expedir,#espedi#,expeí_o,#espEsu#
entregar,#entrega#,entrego,#entrEgu#
desmedir,#desmedi#,desmeco,#desmEsu#
libertar,#liberta#,liberto,#libErtu#
desdar,#desda#,desdo,#dEsdu#
manifestar,#manifesta#,manifesto,#manifEstu#
estrear,#estrea#,estreio,#estrEiu#
infectar,#infekita#,infecto,#infEkitu#
entregar,#entrega#,entrego,#entrEgu#
poder,#pode#,posso,#pOsu#
informar,#informa#,informo,#infOrmu#
tornar,#torna#,torno,#tOrnu#
tomar,#toma#,tomo,#tOmu#
gostar,#gosta#,gosto,#gOstu#
levar,#leva#,levo,#lEvu#
mostrar,#mostra#,mostro,#mOstru#
acordar,#akorda#,acordo,#akOrdu#
cortar,#korta#,corto,#kOrtu#
almocar,#aumosa#,almoco,#aumOsu#
pegar,#pega#,pego,#pEgu#
olhar,#olia#,olho,#Oliu#
jogar,#joga#,jogo,#jOgu#
expedir,#espedi#,expeí_o,#espEsu#
entregar,#entrega#,entrego,#entrEgu#
desmedir,#desmedi#,desmeco,#desmEsu#
libertar,#liberta#,liberto,#libErtu#
desdar,#desda#,desdo,#dEsdu#
manifestar,#manifesta#,manifesto,#manifEstu#
estrear,#estrea#,estreio,#estrEiu#
infectar,#infekita#,infecto,#infEkitu#
entregar,#entrega#,entrego,#entrEgu#
poder,#pode#,posso,#pOsu#
informar,#informa#,informo,#infOrmu#
tornar,#torna#,torno,#tOrnu#
excluir,#esklui#,excluo,#eskluo#
aproveitar,#aproveita#,aproveito,#aproveitu#
vencer,#vense#,venco,#vensu#
proteger,#proteje#,protejo,#proteju#
imaginar,#imajina#,imagino,#imajinu#
acabar,#akaba#,acabo,#akabu#
merecer,#merese#,mereso,#meresu#
viajar,#viaja#,viajo,#viaju#
conjugar,#konjuga#,conjugo,#konjugu#
plantar,#planta#,planto,#plantu#
entreter,#entrete#,entretenho,#entreteniu#
enviar,#envia#,envio,#enviu#
crescer,#krese#,cresso,#kresu#
andar,#anda#,ando,#andu#
lambuzar,#lambuza#,lambuzo,#lambuzu#
estudar,#estuda#,estudo,#istudu#
continuar,#kontinua#,continuo,#kontinuu#
aguardar,#aguarda#,aguardo,#aguardu#
ligar,#liga#,ligo,#ligu#
chover,#xove#,chovo,#xovu#
gritar,#grita#,grito,#gritu#
exercer,#ezerse#,exerco,#ezerso#
excluir,#esklui#,excluo,#eskluo#
aproveitar,#aproveita#,aproveito,#aproveitu#
vencer,#vense#,venco,#vensu#
proteger,#proteje#,protejo,#proteju#
imaginar,#imajina#,imagino,#imajinu#
acabar,#akaba#,acabo,#akabu#
merecer,#merese#,mereso,#meresu#
viajar,#viaja#,viajo,#viaju#
conjugar,#konjuga#,conjugo,#konjugu#
plantar,#planta#,planto,#plantu#
entreter,#entrete#,entretenho,#entreteniu#
enviar,#envia#,envio,#enviu#
crescer,#krese#,cresso,#kresu#
andar,#anda#,ando,#andu#
lambuzar,#lambuza#,lambuzo,#lambuzu#
estudar,#estuda#,estudo,#istudu#
continuar,#kontinua#,continuo,#kontinuu#
aguardar,#aguarda#,aguardo,#aguardu#
ligar,#liga#,ligo,#ligu#
chover,#xove#,chovo,#xovu#
gritar,#grita#,grito,#gritu#
exercer,#ezerse#,exerco,#ezerso#
agir,#aji#,ajo,#aju#
falar,#fala#,falo,#falu#
levantar,#levanta#,levanto,#levantu#
ficar,#fika#,fico,#fiku#
deixar,#deixa#,deixo,#deixu#
escolher,#eskolier#,escolho,#eskoliu#
ressentir,#hesenti#,ressento,#hesentu#
julgar,#julga#,julgo,#julgu#
possuir,#posui#,possuo,#posuu#
voar,#voa#,voo,#vou#
nadar,#nada#,nado,#nadu#
parar,#para#,paro,#paru#
comer,#kome#,como,#komu#
permanecer,#permanese#,permaneco,#permanesu#
participar,#partisipa#,participo,#partisipu#
cativar,#kativa#,cativo,#kativu#
agradecer,#agradese#,agradeco,#agradesu#
pular,#pula#,pulo,#pulu#
persentir,#persenti#,persento,#persentu#
acompanhar,#akompania#,acompanho,#akompaniu#
dividir,#dividi#,divido,#dividu#
chegar,#xega#,chego,#xegu#
