,v_inf,v_conj,class
0,preve,$preveju#,class__ver
1,Anteve,$Anteveju#,class__ver
2,interver,$interveju#,class__ver
3,heve,$heveju#,class__ver
4,3ntreve,$3ntreveju#,class__ver
5,ve,$veju#,class__ver
6,3ntrete,$3ntret3Nu#,class__ter
7,obite,$obit3Nu#,class__ter
8,konte,$kont3Nu#,class__ter
9,ate,$at3Nu#,class__ter
10,dete,$det3Nu#,class__ter
11,abiste,$abist3Nu#,class__ter
12,hete,$het3Nu#,class__ter
13,mAnte,$mAnt3Nu#,class__ter
14,te,$t3Nu#,class__ter
15,suste,$sust3Nu#,class__ter
16,deskobri,$deskubru#,class__cobrir
17,hekobri,$hekubru#,class__cobrir
18,3ngoli,$3ngulu#,class__cobrir
19,3nkobri,$3nkubru#,class__cobrir
20,sorti,$surtu#,class__cobrir
21,tosi,$tusu#,class__cobrir
22,kobri,$kubru#,class__cobrir
23,persegi,$persigu#,class__seguir
24,espeli,$espilu#,class__seguir
25,vesti,$vistu#,class__seguir
26,inseri,$insiru#,class__seguir
27,agredi,$agridu#,class__seguir
28,feri,$firu#,class__seguir
29,preveni,$previnu#,class__seguir
30,preferi,$prefiru#,class__seguir
31,kompeti,$kompitu#,class__seguir
32,servi,$sirvu#,class__seguir
33,konferi,$konfiru#,class__seguir
34,sujeri,$sujiru#,class__seguir
35,regredi,$regridu#,class__seguir
36,segir,$sigu#,class__seguir
37,diverti,$divirtu#,class__seguir
38,trAnsgredi,$trAnsgridu#,class__seguir
39,dijeri,$dijiru#,class__seguir
40,progredi,$progridu#,class__seguir
41,aderi,$adiru#,class__seguir
42,aferi,$afiru#,class__seguir
43,preteri,$pretiru#,class__seguir
44,konverji,$konvirju#,class__seguir
45,deferi,$defiru#,class__seguir
46,kompeli,$kompilu#,class__seguir
47,konsegi,$konsigu#,class__seguir
48,hepeti,$hepitu#,class__seguir
49,injeri,$injiru#,class__seguir
50,deskre,$deskreiu#,class__ler
51,hele,$heleiu#,class__ler
52,le,$leiu#,class__ler
