ir;vou
ser;sou
fazer;faço
amar;amo
estar;estou
ver;vejo
vir;venho
ter;tenho
poder;posso
dar;dou
haver;hei
partir;parto
comer;como
pôr;ponho
dizer;digo
estudar;estudo
falar;falo
cantar;canto
rir;rio
sair;saio
querer;quero
trazer;trago
vender;vendo
beber;bebo
correr;corro
ler;leio
saber;sei
sorrir;sorrio
dormir;durmo
sentir;sinto
agir;ajo
andar;ando
escrever;escrevo
brincar;brinco
gostar;gosto
ouvir;ouço
corrigir;corrijo
pedir;peço
chegar;chego
jogar;jogo
caber;caibo
receber;recebo
dançar;danço
ficar;fico
pensar;penso
chamar;chamo
crer;creio
abrir;abro
manter;mantenho
expor;exponho
encontrar;encontro
lembrar;lembro
cair;caio
nascer;nasço
começar;começo
aprender;aprendo
conseguir;consigo
intervir;intervenho
conhecer;conheço
viver;vivo
perder;perco
comprar;compro
usar;uso
pular;pulo
viajar;viajo
voar;voo
passear;passeio
dividir;divido
trabalhar;trabalho
voltar;volto
dirigir;dirijo
subir;subo
levar;levo
dever;devo
proteger;protejo
entender;entendo
compor;componho
parar;paro
achar;acho
olhar;olho
passar;passo
cumprir;cumpro
seguir;sigo
colocar;coloco
fugir;fujo
imprimir;imprimo
assistir;assisto
deixar;deixo
precisar;preciso
medir;meço
acordar;acordo
tossir;tusso
conversar;converso
procurar;procuro
mexer;mexo
fingir;finjo
esquecer;esqueço
desejar;desejo
lavar;lavo
esperar;espero
atender;atendo
mandar;mando
valer;valho
morar;moro
sumir;sumo
chorar;choro
bater;bato
almoçar;almoço
avisar;aviso
contar;conto
participar;participo
fechar;fecho
acontecer;aconteço
nadar;nado
dispor;disponho
mentir;minto
descer;desço
prover;provejo
entrar;entro
caminhar;caminho
desistir;desisto
;possuo
pegar;pego
convidar;convido
vestir;visto
ganhar;ganho
agradecer;agradeço
sonhar;sonho
buscar;busco
mudar;mudo
sentar;sento
continuar;continuo
adquirir;adquiro
ferir;firo
acabar;acabo
ajudar;ajudo
julgar;julgo
tomar;tomo
entreter;entretenho
;requeiro
pagar;pago
morrer;morro
encher;encho
escolher;escolho
excluir;excluo
realizar;realizo
existir;existo
divertir;divirto
propor;proponho
apresentar;apresento
permitir;permito
preferir;prefiro
servir;sirvo
informar;informo
chover;chovo
beijar;beijo
ligar;ligo
decidir;decido
parecer;pareço
vencer;venço
conter;contenho
descobrir;descubro
casar;caso
construir;construo
sofrer;sofro
conjugar;conjugo
prever;prevejo
levantar;levanto
repetir;repito
aproveitar;aproveito
tornar;torno
surgir;surjo
permanecer;permaneço
gritar;grito
zoar;zoo
ensinar;ensino
aparecer;apareço
respeitar;respeito
preocupar;preocupo
discutir;discuto
mostrar;mostro
encaminhar;encaminho
crescer;cresço
marcar;marco
odiar;odeio
ceder;cedo
rever;revejo
destruir;destruo
ingerir;ingiro
imaginar;imagino
tentar;tento
entregar;entrego
enviar;envio
responder;respondo
oferecer;ofereço
salvar;salvo
aguardar;aguardo
deter;detenho
compreender;compreendo
cortar;corto
exercer;exerço
merecer;mereço
tirar;tiro
limpar;limpo
compartilhar;compartilho
varrer;varro
aceitar;aceito
plantar;planto
perguntar;pergunto
repor;reponho
terminar;termino
atrair;atraio
polir;pulo
iniciar;inicio
garantir;garanto
observar;observo
adequar;adéquo
prender;prendo
aderir;adiro
perceber;percebo
analisar;analiso
reter;retenho
incluir;incluo
acompanhar;acompanho
provir;provenho
ocorrer;ocorro
satisfazer;satisfaço
acreditar;acredito
criar;crio
perdoar;perdoo
educar;educo
alcançar;alcanço
resolver;resolvo
pintar;pinto
feder;fedo
copiar;copio
matar;mato
pentear;penteio
expressar;expresso
arrumar;arrumo
indicar;indico
resistir;resisto
curtir;curto
produzir;produzo
calar;calo
convir;convenho
apagar;apago
refletir;reflito
visitar;visito
esconder;escondo
confundir;confundo
repartir;reparto
acender;acendo
cobrir;cubro
obter;obtenho
escutar;escuto
insistir;insisto
considerar;considero
impor;imponho
comparecer;compareço
distrair;distraio
quebrar;quebro
despedir;despeço
tocar;toco
emitir;emito
cuspir;cuspo
lançar;lanço
orientar;oriento
honrar;honro
defender;defendo
retirar;retiro
separar;separo
atrasar;atraso
conduzir;conduzo
guardar;guardo
deitar;deito
preparar;preparo
adorar;adoro
negar;nego
virar;viro
explicar;explico
colher;colho
semear;semeio
invadir;invado
aproximar;aproximo
cuidar;cuido
puxar;puxo
errar;erro
lambuzar;lambuzo
formar;formo
lidar;lido
namorar;namoro
juntar;junto
enganar;engano
prometer;prometo
reclamar;reclamo
ansiar;anseio
banhar;banho
prestar;presto
proporcionar;proporciono
obedecer;obedeço
cozinhar;cozinho
lutar;luto
reunir;reúno
doar;doo
desenvolver;desenvolvo
supor;suponho
reconhecer;reconheço
reger;rejo
conquistar;conquisto
importar;importo
vomitar;vomito
cometer;cometo
aplicar;aplico
escovar;escovo
evitar;evito
cheirar;cheiro
perseguir;persigo
afastar;afasto
abraçar;abraço
faltar;falto
distinguir;distingo
alegrar;alegro
despir;dispo
saborear;saboreio
roubar;roubo
engolir;engulo
diminuir;diminuo
pretender;pretendo
unir;uno
mover;movo
jantar;janto
recear;receio
demorar;demoro
atingir;atinjo
utilizar;utilizo
aguar;águo
abandonar;abandono
telefonar;telefono
surpreender;surpreendo
extrair;extraio
concordar;concordo
descansar;descanso
queimar;queimo
concluir;concluo
animar;animo
causar;causo
optar;opto
acostumar;acostumo
desenhar;desenho
provar;provo
desocupar;desocupo
competir;compito
refazer;refaço
ignorar;ignoro
morder;mordo
adivinhar;adivinho
presentear;presenteio
confirmar;confirmo
contribuir;contribuo
basear;baseio
atravessar;atravesso
suar;suo
emprestar;empresto
trocar;troco
