,v_inf,v_conj,class
0,preve,$preveju#,class__ver
1,anteve,$anteveju#,class__ver
2,interver,$interveju#,class__ver
3,heve,$heveju#,class__ver
4,entreve,$entreveju#,class__ver
5,ve,$veju#,class__ver
6,entrete,$entreteniu#,class__ter
7,obite,$obiteniu#,class__ter
8,konte,$konteniu#,class__ter
9,ate,$ateniu#,class__ter
10,dete,$deteniu#,class__ter
11,abiste,$abisteniu#,class__ter
12,hete,$heteniu#,class__ter
13,mante,$manteniu#,class__ter
14,te,$teniu#,class__ter
15,suste,$susteniu#,class__ter
16,deskobri,$deskubru#,class__cobrir
17,hekobri,$hekubru#,class__cobrir
18,engoli,$engulu#,class__cobrir
19,enkobri,$enkubru#,class__cobrir
20,sorti,$surtu#,class__cobrir
21,tosi,$tusu#,class__cobrir
22,kobri,$kubru#,class__cobrir
23,persegi,$persigu#,class__seguir
24,espeli,$espilu#,class__seguir
25,vesti,$vistu#,class__seguir
26,inseri,$insiru#,class__seguir
27,agredi,$agridu#,class__seguir
28,feri,$firu#,class__seguir
29,preveni,$previnu#,class__seguir
30,preferi,$prefiru#,class__seguir
31,kompeti,$kompitu#,class__seguir
32,servi,$sirvu#,class__seguir
33,konferi,$konfiru#,class__seguir
34,sujeri,$sujiru#,class__seguir
35,regredi,$regridu#,class__seguir
36,segir,$sigu#,class__seguir
37,diverti,$divirtu#,class__seguir
38,transgredi,$transgridu#,class__seguir
39,dijeri,$dijiru#,class__seguir
40,progredi,$progridu#,class__seguir
41,aderi,$adiru#,class__seguir
42,aferi,$afiru#,class__seguir
43,preteri,$pretiru#,class__seguir
44,konverji,$konvirju#,class__seguir
45,deferi,$defiru#,class__seguir
46,kompeli,$kompilu#,class__seguir
47,konsegi,$konsigu#,class__seguir
48,hepeti,$hepitu#,class__seguir
49,injeri,$injiru#,class__seguir
50,deskre,$deskreiu#,class__ler
51,hele,$heleiu#,class__ler
52,le,$leiu#,class__ler
53,kre,$kreiu#,class__ler
54,tresle,$treleiu#,class__ler
