olhar,#olia#,olho,#Oliu#
colocar,#koloka#,coloco,#kolOku#
informar,#informa#,informo,#infOrmu#
tornar,#torna#,torno,#tOrnu#
boiar,#boia#,boio,#bOiu#
botar,#bota#,boto,#bOtu#
tocar,#toka#,toco,#tOku#
focar,#foka#,foco,#fOku#
mostrar,#mostra#,mostro,#mOstru#
chorar,#xora#,choro,#xOru#
notar,#nota#,noto,#nOtu#
tostar,#tostar#,tosto,#tOstu#
trocar,#troka#,troco,#trOku#
robocar,#heboka#,reboco,#hebOku#
socar,#soka#,soco,#sOku#
cocar,#kosa#,coco,#kOsu#
tomar,#toma#,tomo,#tOmu#
recortar,#hekorta#,#recorto,#hekOrtu#
entortar,#entorta#,entorto,#entOrtu#
encostar,#enkosta#,encosto,#enkOstu#
retornar,#hetorna#,retorno,#hetOrnu#
orar,#ora#,oro,#Oru#
morar,#mora#,moro,#mOru#
postar,#posta#,posto,#pOstu#
jogar,#joga#,jogo,#jOgu#
acordar,#akorda#,acordo,#akOrdu#
cortar, #korta#', corto, #kOrtu#
almocar, #aumosa#,almoco,#aumOsu#
gostar,#gosta#,gosto,#gOstu#
voltar',#volta#,volto,#vOltu#
