requerer,#hekere#,requero,#hekEru#
entrequerer,#entrekere#,entrequero,#entrekEru#
querer,#kere#,quero,#kEru#
saber,#sabe#,sei,#sei#
equivaler,#ekivale#,equivalho,#ekivaliu#
prover,#prove#,provenho,#proveniu#
trazer,#traze#,trago,#tragu#
poder,#pode#,posso,#pOsu#
desdar,#desda#,desdo,#dEsdu#
idear,#idea#,ideio,#ideiu#
estrear,#estrea#,estreio,#estrEiu#
dar,#da#,dou,#dou#
sobrestar,#sobresta#,sobrestou,#sobrestou#
estar,#esta#,estou,#estou#
caber,#kabe#,caibo,#kaibu#
ouvir,#ouvi#,ouco,#ousu#
entreouvir,#entreouvi#,ouco,#entreousu#
reouvir,#reouvi#,reouco,#reousu#
parir,#pari#,pairo,#pairu#
perder,#perde#,perco,#perku#
