ansiar,#ansia#,anseio,#anseiu#
odiar,#odia#,odeio,#odeiu#
pleitear,#pleitea#,pleiteio,#pleiteiu#
incendiar,#insendia#,incenceio,#insendeiu#
sortear,#sortea#,sorteio,#sorteiu#
remediar,#hemedia#,remedeio,#hemedeiu#
intermediar,#intermedia#,intermedeio,#intermedeiu#
mediar,#media#,medeio,#medeiu#
passear,#pasea#,passeio,#paseiu#
olhar,#olia#,olho,#Oliu#
colocar,#koloka#,coloco,#kolOku#
informar,#informa#,informo,#infOrmu#
tornar,#torna#,torno,#tOrnu#
boiar,#boia#,boio,#bOiu#
botar,#bota#,boto,#bOtu#
tocar,#toka#,toco,#tOku#
focar,#foka#,foco,#fOku#
mostrar,#mostra#,mostro,#mOstru#
chorar,#xora#,choro,#xOru#
notar,#nota#,noto,#nOtu#
tostar,#tostar#,tosto,#tOstu#
trocar,#troka#,troco,#trOku#
robocar,#heboka#,reboco,#hebOku#
socar,#soka#,soco,#sOku#
cocar,#kosa#,coco,#kOsu#
tomar,#toma#,tomo,#tOmu#
recortar,#hekorta#,#recorto,#hekOrtu#
entortar,#entorta#,entorto,#entOrtu#
encostar,#enkosta#,encosto,#enkOstu#
retornar,#hetorna#,retorno,#hetOrnu#
orar,#ora#,oro,#Oru#
morar,#mora#,moro,#mOru#
postar,#posta#,posto,#pOstu#
jogar,#joga#,jogo,#jOgu#
acordar,#akorda#,acordo,#akOrdu#
cortar, #korta#', corto, #kOrtu#
almocar, #aumosa#,almoco,#aumOsu#
gostar,#gosta#,gosto,#gOstu#
voltar',#volta#,volto,#vOltu#
descobrir,#deskobri#,descubro,#deskubru#
recobrir,#hekobri#,recubro,#hekubru#
engolir,#engoli#,engulo,#engulu#
encobrir,#enkobri#,encubro,#enkubru#
sortir,#sorti#,surto,#surtu#
tossir,#tosi#,tusso,#tusu#
cobrir,#kobri#,cubro,#kubru#
dizer,#dize#,digo,#digu#
redizer,#hedize#,redigo,#hedigu#
desdizer,#desdize#,desdigo,#desdigu#
condizer,#kondize#,condigo,#kondigu#
entredizer,#entredize#,entregido,#entredigu#
contradizer,#kontradize#,contradigo,#kontradigu#
interdizer,#interdize#,interdigo,#interdigu#
perfazer,#perfaze#,perfaco,#perfasu#
transfazer,#transfaze#,transfaco,#transfasu#
insatisfazer,#insatisfaze#,insatisfaco,#insatisfasu#
malfazer,#maufaze#,malfaco,#maufasu#
liquefazer,#likefaze#,liquefaco,#likefasu#
benfazer,#benfaze#,benfaco,#benfasu#
satisfazer,#satisfaze#,satisfaco,#satisfasu#
putrefazer,#putrefaze#,putrefaco,#putrefasu#
