infinitive,predicted,target,class
sortea,sosteii,sorteiu,class__ansiar
hemedia,hemeteuu,hemedeiu,class__ansiar
pasea,patesu,paseiu,class__ansiar
intermedia,ententetiu,intermedeiu,class__ansiar
media,mateuu,medeiu,class__ansiar
insendia,intenteiu,insendeiu,class__ansiar
pleitea,pelEtuu,pleiteiu,class__ansiar
odia,$$u,odeiu,class__ansiar
ansia,anisu,anseiu,class__ansiar
foka,sOku,fOku,class__botar
mora,mOru,mOru,class__botar
toka,tOku,tOku,class__botar
hekorta,hekOtru,hekOrtu,class__botar
kosa,kOsu,kOsu,class__botar
joga,jugu,jOgu,class__botar
soka,sOku,sOku,class__botar
heboka,hekubu,hebOku,class__botar
troka,tr$ku,trOku,class__botar
entorta,entretu,entOrtu,class__botar
enkosta,enkondu,enkOstu,class__botar
hetorna,sompriu,hetOrnu,class__botar
ora,$$u,Oru,class__botar
toma,tu,tOmu,class__botar
akorda,akurtu,akOrdu,class__botar
posta,postu,pOstu,class__botar
nota,nontu,nOtu,class__botar
gosta,kOstu,gOstu,class__botar
tostar,tustu,tOstu,class__botar
bota,bOsu,bOtu,class__botar
aumosa,inu,aumOsu,class__botar
mostra,mortru,mOstru,class__botar
xora,fOru,xOru,class__botar
olia,olu,Oliu,class__botar
koloka,kolpu,kolOku,class__botar
informa,enfintu,infOrmu,class__botar
torna,tOrtu,tOrnu,class__botar
boia,biuu,bOiu,class__botar
korta,kontu,kOrtu,class__botar
volta,vu,vOltu,class__botar
tosi,tosu,tusu,class__cobrir
engoli,enkulu,engulu,class__cobrir
deskobri,despudtu,deskubru,class__cobrir
hekobri,hegupru,hekubru,class__cobrir
enkobri,etkOttu,enkubru,class__cobrir
kobri,komdu,kubru,class__cobrir
sorti,surtu,surtu,class__cobrir
dize,dizu,digu,class__dizer
interdize,interdezu,interdigu,class__dizer
hedize,hedisu,hedigu,class__dizer
desdize,dez$t$u,desdigu,class__dizer
entredize,entretedu,entredigu,class__dizer
kontradize,kontratEsu,kontradigu,class__dizer
kondize,kondezu,kondigu,class__dizer
despraze,desprazu,desprasu,class__fazer
faze,fasu,fasu,class__fazer
esfaze,esfasu,esfasu,class__fazer
tohefaze,tohefasu,tohefasu,class__fazer
adijaze,adivesu,adijasu,class__fazer
harefaze,sa$$sfi,harefasu,class__fazer
perfaze,perfesu,perfasu,class__fazer
benfaze,pes$$su,benfasu,class__fazer
likefaze,ajij$$tu,likefasu,class__fazer
maufaze,a$$$fu,maufasu,class__fazer
transfaze,transfasu,transfasu,class__fazer
insatisfaze,insenevasfisu,insatisfasu,class__fazer
satisfaze,issa$ssi,satisfasu,class__fazer
kontrafaze,kontrafazu,kontrafasu,class__fazer
putrefaze,konsis$$uu,putrefasu,class__fazer
hele,hexu,heleiu,class__ler
deskre,destru,deskreiu,class__ler
le,$lu,leiu,class__ler
kre,kriu,kreiu,class__ler
tresle,tre$$,treleiu,class__ler
desmenti,desmintu,desmintu,class__mentir
senti,sentu,sintu,class__mentir
konsenti,kons$riu,konsintu,class__mentir
menti,mantu,mintu,class__mentir
asenti,asintu,asintu,class__mentir
hesenti,hes$niu,hesintu,class__mentir
persenti,per$stu,persintu,class__mentir
presenti,prentinu,presintu,class__mentir
ouvi,ouvu,ousu,class__none
pode,podu,pOsu,class__none
kabe,kaku,kaibu,class__none
ekivale,ak$aku,ekivaliu,class__none
estrea,estreiu,estrEiu,class__none
hekere,hekenu,hekEru,class__none
entrekere,entretesiu,entrekEru,class__none
kere,keniu,kEru,class__none
sabe,saku,sei,class__none
da,deu,dou,class__none
idea,adi,ideiu,class__none
desda,desku,dEsdu,class__none
prove,prov$u,proveniu,class__none
sobresta,sotpradu,sobrestou,class__none
esta,estu,estou,class__none
traze,trasu,tragu,class__none
perde,pertenu,perku,class__none
pari,paru,pairu,class__none
reouvi,enusu,reousu,class__none
entreouvi,entosu,entreousu,class__none
pedi,petu,pEsu,class__pedir
medi,medu,mEsu,class__pedir
despedi,despitu,despEsu,class__pedir
desmedi,desittu,desmEsu,class__pedir
dezimpedi,despimgu,dezimpEsu,class__pedir
impedi,amib$u,impEsu,class__pedir
espedi,eskenu,espEsu,class__pedir
dekompo,gospupu,dekomponiu,class__por
impo,mimu,imponiu,class__por
supo,supu,suponiu,class__por
justapo,zu,justaponiu,class__por
trespo,trentu,tresponiu,class__por
deskompo,despupru,deskomponiu,class__por
depo,depu,deponiu,class__por
interpo,intentu,interponiu,class__por
pospo,pospu,posponiu,class__por
antepo,atteniu,anteponiu,class__por
kompo,kompu,komponiu,class__por
superpo,supretu,superponiu,class__por
po,pou,poniu,class__por
indispo,int$$$u,indisponiu,class__por
presupo,prenuu,presuponiu,class__por
hekompo,hepup,hekomponiu,class__por
entrepo,entre$u,entreponiu,class__por
predispo,pre$$tiu,predisponiu,class__por
