infinitive,predicted,target,class
odia,ottu,odeiu,class__ansiar
media,manku,medeiu,class__ansiar
hemedia,hetediu,hemedeiu,class__ansiar
sortea,so$resu,sorteiu,class__ansiar
intermedia,intentetiu,intermedeiu,class__ansiar
insendia,insenitiu,insendeiu,class__ansiar
pleitea,plefiru,pleiteiu,class__ansiar
ansia,anse$u,anseiu,class__ansiar
pasea,pareiu,paseiu,class__ansiar
tosta,tOstu,tOstu,class__botar
entorta,entrEtu,entOrtu,class__botar
hetorna,hetrimu,hetOrnu,class__botar
torna,tOrtu,tOrnu,class__botar
informa,infEstu,infOrmu,class__botar
enkosta,enkO$tu,enkOstu,class__botar
posta,pOstu,pOstu,class__botar
ora,Osu,Oru,class__botar
mora,mOsu,mOru,class__botar
xora,xOru,xOru,class__botar
hekorta,hekOrtu,hekOrtu,class__botar
toma,tOsu,tOmu,class__botar
toka,tOku,tOku,class__botar
foka,fO,fOku,class__botar
bota,bOtu,bOtu,class__botar
mostra,tontru,mOstru,class__botar
soka,sOku,sOku,class__botar
heboka,hekubu,hebOku,class__botar
nota,tOnu,nOtu,class__botar
boia,bOku,bOiu,class__botar
koloka,kopOlu,kolOku,class__botar
oLa,oou,OLu,class__botar
korta,korsu,kOrtu,class__botar
kosa,kOsu,kOsu,class__botar
aumosa,amuspu,aumOsu,class__botar
gosta,desku,gOstu,class__botar
volta,joxku,vOltu,class__botar
joga,jo,jOgu,class__botar
akorda,akutru,akOrdu,class__botar
troka,trEku,trOku,class__botar
enkobri,enkubru,enkubru,class__cobrir
sorti,s$$ru,surtu,class__cobrir
hekobri,hekuttu,hekubru,class__cobrir
engoli,enkluu,engulu,class__cobrir
tosi,tOsu,tusu,class__cobrir
kobri,ko$du,kubru,class__cobrir
deskobri,deskondu,deskubru,class__cobrir
kontradize,kontradiku,kontradigu,class__dizer
interdize,interdigu,interdigu,class__dizer
entredize,entretidu,entredigu,class__dizer
kondize,kondigu,kondigu,class__dizer
hedize,hedeseou,hedigu,class__dizer
dize,dido,digu,class__dizer
desdize,des$tu,desdigu,class__dizer
transfaze,transf$su,transfasu,class__fazer
maufaze,imfasuu,maufasu,class__fazer
esfaze,esfasu,esfasu,class__fazer
harefaze,hetasfisu,harefasu,class__fazer
tohefaze,so$esfasu,tohefasu,class__fazer
kontrafaze,kontrafasu,kontrafasu,class__fazer
likefaze,i$vafuru,likefasu,class__fazer
insatisfaze,insentadeiiu,insatisfasu,class__fazer
satisfaze,satesfasu,satisfasu,class__fazer
perfaze,perfasu,perfasu,class__fazer
benfaze,pesfasu,benfasu,class__fazer
putrefaze,prnferva,putrefasu,class__fazer
adijaze,adivesu,adijasu,class__fazer
faze,fas,fasu,class__fazer
despraze,destittu,desprasu,class__fazer
kre,kEru,kreiu,class__ler
tresle,tre$lu,treleiu,class__ler
le,$li,leiu,class__ler
hele,heleiu,heleiu,class__ler
deskre,destetu,deskreiu,class__ler
persenti,pertintu,persintu,class__mentir
hesenti,hetentu,hesintu,class__mentir
asenti,asentu,asintu,class__mentir
menti,mentu,mintu,class__mentir
senti,sintu,sintu,class__mentir
konsenti,konsintu,konsintu,class__mentir
desmenti,desmEstu,desmintu,class__mentir
presenti,presintu,presintu,class__mentir
idea,$teiu,ideiu,class__none
ouvi,o$ufu,ousu,class__none
estrea,estreiu,estrEiu,class__none
pode,pontu,pOsu,class__none
entrekere,entretidu,entrekEru,class__none
kere,kreiu,kEru,class__none
sobresta,subrEdtu,sobrestou,class__none
prove,provexu,proveNu,class__none
esta,estru,estou,class__none
sabe,sapu,sei,class__none
ekivale,e$gexiju,ekivaLu,class__none
da,t,dou,class__none
kabe,kabu,kaibu,class__none
desda,dez$u,dEsdu,class__none
traze,tras,tragu,class__none
hekere,hekereiu,hekEru,class__none
perde,pertu,perku,class__none
pari,paru,pairu,class__none
reouvi,erosfu,reousu,class__none
entreouvi,entre$,entreousu,class__none
desmedi,desmEsu,desmEsu,class__pedir
pedi,pEsu,pEsu,class__pedir
impedi,impEtu,impEsu,class__pedir
espedi,espitu,espEsu,class__pedir
medi,medu,mEsu,class__pedir
dezimpedi,desmadi,dezimpEsu,class__pedir
despedi,despidu,despEsu,class__pedir
justapo,subranou,justapoNu,class__por
superpo,sobreboNu,superpoNu,class__por
impo,$mpoNu,impoNu,class__por
depo,detpoNu,depoNu,class__por
propo,propoNu,propoNu,class__por
prosupo,tropusu,prosupoNu,class__por
entrepo,entrepoNu,entrepoNu,class__por
hekompo,hekompoNu,hekompoNu,class__por
presupo,protupu,presupoNu,class__por
supo,supoNu,supoNu,class__por
dekompo,konbimpoNu,dekompoNu,class__por
trespo,trentou,trespoNu,class__por
deskompo,deskumpoNu,deskompoNu,class__por
hedispo,hedep$oNu,hedispoNu,class__por
predispo,prent$poNu,predispoNu,class__por
indispo,intenboNu,indispoNu,class__por
dezapo,detefoNu,dezapoNu,class__por
kompo,kompoNu,kompoNu,class__por
kontrapo,kontrepeNu,kontrapoNu,class__por
pospo,pospoNu,pospoNu,class__por
po,pou,poNu,class__por
despo,det$oNu,despoNu,class__por
transpo,transpoNu,transpoNu,class__por
espo,espoNu,espoNu,class__por
interpo,interpoNu,interpoNu,class__por
dispo,dispoNu,dispoNu,class__por
antepo,antepoNu,antepoNu,class__por
friji,firju,friju,class__regular
kanta,kantu,kantu,class__regular
konstrui,konsirtu,konstruu,class__regular
surji,surzu,surju,class__regular
prokura,prokruu,prokuru,class__regular
atinji,atinju,atinju,class__regular
marka,pantu,marku,class__regular
ensina,ensinu,ensinu,class__regular
omiti,omitu,omitu,class__regular
vahe,vaa,vahu,class__regular
kamiNa,kammiu,kamiNu,class__regular
merese,menteuu,meresu,class__regular
akompaNa,empenpu,akompaNu,class__regular
xove,xOju,xovu,class__regular
kativa,ka$$$$u,kativu,class__regular
viaja,vaju,viaju,class__regular
dezeja,dezaju,dezeju,class__regular
pula,pulu,pulu,class__regular
aproveita,aprof$su,aproveitu,class__regular
dividi,diviru,dividu,class__regular
aguarda,agattuu,aguardu,class__regular
zoa,zou,zou,class__regular
xega,xEgu,xegu,class__regular
grita,gratuu,gritu,class__regular
lembra,limbu,lembru,class__regular
dezagua,deziguu,dezaguu,class__regular
eskese,espeseu,eskesu,class__regular
okulta,$upOlu,okultu,class__regular
izenta,inidi,izentu,class__regular
limpa,lip,limpu,class__regular
konvense,konzi$su,konvensu,class__regular
heda,hedu,hedu,class__regular
emerji,enpixu,emerju,class__regular
transfuji,transvisu,transfuju,class__regular
mobilia,mpileiu,mobiliu,class__regular
posui,pusuu,posuu,class__regular
fuji,fuxu,fuju,class__regular
adiverti,adiguru,adivertu,class__regular
imajina,amis$$u,imajinu,class__regular
desprove,desprefeNu,desprovu,class__regular
distrai,distrau,distraiu,class__regular
akudi,aguku,akudu,class__regular
subi,subu,subu,class__regular
eleje,elxiu,eleju,class__regular
influi,infOlu,influu,class__regular
hemedi,hemidu,hemedu,class__regular
buli,bulu,bulu,class__regular
inkohe,inkorou,inkohu,class__regular
tenta,tentu,tentu,class__regular
healiza,haaju,healisu,class__regular
desidi,deziu,desidu,class__regular
konsumi,konsimu,konsumu,class__regular
atende,atendu,atendu,class__regular
enxe,ense,enxu,class__regular
ajuda,aduju,ajudu,class__regular
deslingua,despentu,deslinguu,class__regular
lambuza,lamptutu,lambuzu,class__regular
akontese,enkorfanu,akontesu,class__regular
pensa,pensu,pensu,class__regular
fika,fEku,fiku,class__regular
senta,sintu,sentu,class__regular
ezisti,esfinu,ezistu,class__regular
konta,kontu,kontu,class__regular
finji,fu,finju,class__regular
axa,axeu,axu,class__regular
aviza,avizu,avizu,class__regular
kompra,kompru,kompru,class__regular
aji,aju,aju,class__regular
asisti,asiitu,asistu,class__regular
eduka,ediku,eduku,class__regular
ama,ateNu,amu,class__regular
akaba,agatu,akabu,class__regular
diskuti,deskubu,diskutu,class__regular
entra,entri,entru,class__regular
garanti,kartigu,garantu,class__regular
preukupa,kongupru,preukupu,class__regular
manda,mandu,mandu,class__regular
partisipa,pretrfaruu,partisipu,class__regular
deixa,dexu,deixu,class__regular
pasa,pasi,pasu,class__regular
entende,entredeNu,entendu,class__regular
aprende,aperbuNu,aprendu,class__regular
dansa,desdu,dansu,class__regular
enkontra,enkonttu,enkontru,class__regular
buska,buvEru,busku,class__regular
inisia,insaiuu,inisiu,class__regular
oferese,esp$$su,oferesu,class__regular
adikiri,adig$itu,adikiru,class__regular
bebe,bevi,bebu,class__regular
aprezentar,antetereiu,aprezentu,class__regular
parti,paritu,partu,class__regular
parese,parsi,paresu,class__regular
soNa,sO,soNu,class__regular
kaza,kaiuu,kazu,class__regular
julga,jujtu,julgu,class__regular
hi,fe$u,hiu,class__regular
inklui,inkulu,inkluu,class__regular
afliji,laixu,afliju,class__regular
kontravi,kontravu,kontravu,class__regular
mohe,mOsu,mohu,class__regular
sumi,sumu,sumu,class__regular
jaze,jizu,jazu,class__regular
denfende,denkomvi,defendu,class__regular
tende,tentoNu,tendu,class__regular
sakudi,sakubu,sakudu,class__regular
kompartiLa,kompratupu,kompartiLu,class__regular
konklui,kontulu,konkluu,class__regular
farta,far,fartu,class__regular
moe,mesu,mou,class__regular
hespeita,hesintiu,hespeitu,class__regular
vende,vendu,vendu,class__regular
sede,setku,sedu,class__regular
agradese,atarateuu,agradesu,class__regular
koNese,komesu,koNesu,class__regular
voa,vo,vou,class__regular
nada,natu,nadu,class__regular
para,pairu,paru,class__regular
kome,kom$u,komu,class__regular
permiti,persipu,permitu,class__regular
lava,lavi,lavu,class__regular
dese,deseNu,desu,class__regular
beija,peviiu,beiju,class__regular
kohe,kosfeNu,kohu,class__regular
permanese,penpensi,permanesu,class__regular
uza,usu,uzu,class__regular
esklui,eskolu,eskluu,class__regular
kompreende,komtertidu,kompreendu,class__regular
dezisti,dezi,dezistu,class__regular
aparese,apar$isu,aparesu,class__regular
envia,enveiu,enviu,class__regular
kai,ateiu,kaiu,class__regular
imprimi,impinpu,imprimu,class__regular
subimete,hemp$en$u,subimetu,class__regular
imerji,imerju,imerju,class__regular
trabaLa,tat$$$u,trabaLu,class__regular
liga,lEgu,ligu,class__regular
sofre,sus$u,sofru,class__regular
disouve,desufuru,disouvu,class__regular
kohiji,kofu,kohiju,class__regular
envouve,inforvu,envouvu,class__regular
mexe,mexeu,mexu,class__regular
kompraze,komprasu,komprazu,class__regular
presiza,presisu,presizu,class__regular
analiza,an$liu,analisu,class__regular
eriji,edixu,eriju,class__regular
hompe,hepomu,hompu,class__regular
konvida,konviru,konvidu,class__regular
planta,plentu,plantu,class__regular
levanta,levatu,levantu,class__regular
fala,faxu,falu,class__regular
anda,antu,andu,class__regular
kumpri,kumbu,kumpru,class__regular
abri,abiru,abru,class__regular
xama,xai,xamu,class__regular
murxa,musxu,murxu,class__regular
eskreve,estreveju,eskrevu,class__regular
kontinua,kontituu,kontinuu,class__regular
krese,kreei,kresu,class__regular
ezerse,esteseu,ezersu,class__regular
brinka,prediku,brinku,class__regular
subimerji,$ube$$azu,subimerju,class__regular
konjuga,konguju,konjugu,class__regular
gaNa,gaau,gaNu,class__regular
preklui,prokulu,prekluu,class__regular
kontrai,kontrauu,kontraiu,class__regular
estingi,estittu,estingu,class__regular
televe,ke$exo,televu,class__regular
entupi,intup,entupu,class__regular
deskalsa,des$$$xu,deskalsu,class__regular
gasta,garatu,gastu,class__regular
finda,findu,findu,class__regular
kuspi,kumtu,kuspu,class__regular
pretende,prent$,pretendu,class__regular
deve,deveju,devu,class__regular
enkamiNa,enkemaNu,enkamiNu,class__regular
atribui,attupoNu,atribuu,class__regular
estuda,estOtu,istudu,class__regular
sauva,sau,sauvu,class__regular
prende,prenp,prendu,class__regular
espulsa,esp$l$u,espulsu,class__regular
hevolve,hejeju,hevolvu,class__regular
enxuga,enguxu,enxugu,class__regular
despoli,despulu,despolu,class__regular
eskapuli,aku,eskapulu,class__regular
hetrai,hetEruu,hetraiu,class__regular
benze,benfu,benzu,class__regular
perverte,perfar,pervertu,class__regular
sohi,su,sohiu,class__regular
desprekave,despre$$,desprekavu,class__regular
mingua,mitidu,minguu,class__regular
aseita,asintu,aseitu,class__regular
konfuji,konvilu,konfuju,class__regular
segura,sekudu,seguru,class__regular
suspende,suprespu,suspendu,class__regular
junta,juntu,juntu,class__regular
kohompe,konpemu,kohompu,class__regular
atrai,atraiu,atraiu,class__regular
desmobilia,dezempexu,desmobiliu,class__regular
eskuta,eskupu,eskutu,class__regular
mata,manu,matu,class__regular
paga,pa$ku,pagu,class__regular
sai,saiu,saiu,class__regular
kultiva,konvalu,kultivu,class__regular
eskoLe,eskolu,eskoLu,class__regular
asende,asentu,asendu,class__regular
esvai,esfa,esvaiu,class__regular
destrui,destutu,destruu,class__regular
dormi,dirmu,durmu,class__regular
okohe,e$u,okohu,class__regular
diriji,disiru,diriju,class__regular
trai,traiu,traiu,class__regular
muda,mubu,mudu,class__regular
esprimi,espintu,esprimu,class__regular
bate,baito,batu,class__regular
segi,sigu,sigu,class__seguir
deferi,defiru,defiru,class__seguir
konsegi,konzigu,konsigu,class__seguir
kompeli,kompliu,kompilu,class__seguir
injeri,inxiru,injiru,class__seguir
konverji,konvirxu,konvirju,class__seguir
vesti,vintu,vistu,class__seguir
aferi,afiru,afiru,class__seguir
preteri,pre$$ru,pretiru,class__seguir
hepeti,hepEru,hepitu,class__seguir
regredi,tergudu,regridu,class__seguir
konferi,konfiru,konfiru,class__seguir
feri,firu,firu,class__seguir
transgredi,tratradudu,transgridu,class__seguir
aderi,aditu,adiru,class__seguir
preferi,prefiru,prefiru,class__seguir
dijeri,dijiru,dijiru,class__seguir
persegi,pertEsu,persigu,class__seguir
espeli,espelu,espilu,class__seguir
preveni,prefisu,previnu,class__seguir
servi,serveNu,sirvu,class__seguir
progredi,t$trid$u,progridu,class__seguir
inseri,insiru,insiru,class__seguir
kompeti,kompEru,kompitu,class__seguir
diverti,divertu,divirtu,class__seguir
sujeri,sujiru,sujiru,class__seguir
agredi,akErdu,agridu,class__seguir
hete,heti,heteNu,class__ter
ate,ateeu,ateNu,class__ter
suste,sundi,susteNu,class__ter
te,teiu,teNu,class__ter
abiste,abispO,abisteNu,class__ter
obite,opediu,obiteNu,class__ter
konte,kontu,konteNu,class__ter
dete,detu,deteNu,class__ter
entrete,entretu,entreteNu,class__ter
mante,mant,manteNu,class__ter
fexa,fexu,fExu,class__testar
manifesta,inpasfanu,manifEstu,class__testar
entrega,entrEdu,entrEgu,class__testar
testa,testu,tEstu,class__testar
espera,espEru,espEru,class__testar
protesta,pro$rsu,protEstu,class__testar
obiserva,obi$fasu,obisErvu,class__testar
