tomar,#toma#,tomo,#tOmu#
gostar,#gosta#,gosto,#gOstu#
levar,#leva#,levo,#lEvu#
mostrar,#mostra#,mostro,#mOstru#
acordar,#akorda#,acordo,#akOrdu#
cortar,#korta#,corto,#kOrtu#
almocar,#aumosa#,almoco,#aumOsu#
pegar,#pega#,pego,#pEgu#
olhar,#olia#,olho,#Oliu#
jogar,#joga#,jogo,#jOgu#
expedir,#espedi#,expeí_o,#espEsu#
entregar,#entrega#,entrego,#entrEgu#
desmedir,#desmedi#,desmeco,#desmEsu#
libertar,#liberta#,liberto,#libErtu#
desdar,#desda#,desdo,#dEsdu#
manifestar,#manifesta#,manifesto,#manifEstu#
estrear,#estrea#,estreio,#estrEiu#
infectar,#infekita#,infecto,#infEkitu#
entregar,#entrega#,entrego,#entrEgu#
poder,#pode#,posso,#pOsu#
informar,#informa#,informo,#infOrmu#
tornar,#torna#,torno,#tOrnu#
ingerir,#injeri#,ingiro,#injiru#
