entregar,#entrega#,entrego,#entrEgu#
comecar,#komesa#,comeco,#komEsu#
readequar,#headekua#,readequo,#headEkuu#
secar,#seka#,seco,#sEku#
completar,#kompleta#,completo,#komplEtu#
cegar,#sega#,cego,#sEgu#
esperar,#espera#,espero,#espEru#
pegar,#pega#,pego,#pEgu#
adequar,#adekua#,adequo,#adEkuu#
manifestar,#manifesta#,manifesto,#manifEstu#
infectar,#infekita#,infecto,#infEkitu#
emprestar,#empresta#,empresto,#emprEstu#
protestar,#protesta#,protesto,#protEstu#
detestar,#detesta#,detesto,#detEstu#
testar,#testa#,testo,#tEstu#
prestar,#presta#,presto,#prEstu#
