excluir,#esklui#,excluo,#eskluu#;;;;;;excluir,#esklui#,excluo,#eskluu#;;;;;entreter,#entrete#,entretenho,#entreteniu#;;;;;ressentir,#hesenti#,ressento,#hesintu#;;;;;esperar,#espera#,espero,#espEru#;;;;morar,#mora#,moro,#mOru#;;;;perseguir,#persegi#,persigo,#persigu#;;;;caber,#kabe#,caibo,#kaibu#
aproveitar,#aproveita#,aproveito,#aproveitu#;;;;;;aproveitar,#aproveita#,aproveito,#aproveitu#;;;;;obter,#obite#,obtenho,#obitenhu#;;;;;persentir,#persenti#,persento,#persintu#;;;;;pegar,#pega#,pego,#pEgu#;;;;jogar,#joga#,jogo,#jOgu#;;;;expelir,#espeli#,expilo,#espilu#;;;;
vencer,#vense#,venco,#vensu#;;;;;;vencer,#vense#,venco,#vensu#;;;;;;;;;;desmentir,#desmenti#,desminto,#desmintu#;;;;;impedir,#impedi#,impeco,#impEsu#;;;;olhar,#olia#,olho,#Oliu#;;;;ferir,#feri#,firo,#firu#;;;;
proteger,#proteje#,protejo,#proteju#;;;;;;proteger,#proteje#,protejo,#proteju#;;;;;;;;;;pressentir,#presenti#,pressinto,#presintu#;;;;;comecar,#komesa#,comeco,#komEsu#;;;;colocar,#koloka#,coloco,#kolOku#;;;;prevenir,#preveni#,previno,#previnu#;;;;
imaginar,#imajina#,imagino,#imajinu#;;;;;;imaginar,#imajina#,imagino,#imajinu#;;;;;;;;;;;;;;;readequar,#headekua#,readequo,#headEkuu#;;;;informar,#informa#,informo,#infOrmu#;;;;;;;;
acabar,#akaba#,acabo,#akabu#;;;;;;acabar,#akaba#,acabo,#akabu#;;;;;;;;;;;;;;;secar,#seka#,seco,#sEku#;;;;tornar,#torna#,torno,#tOrnu#;;;;;;;;
merecer,#merese#,mereso,#meresu#;;;;;;merecer,#merese#,mereso,#meresu#;;;;;;;;;;;;;;;completar,#kompleta#,completo,#komplEtu#;;;;;;;;;;;;
viajar,#viaja#,viajo,#viaju#;;;;;;viajar,#viaja#,viajo,#viaju#;;;;;;;;;;;;;;;completar,#kompleta#,completo,#komplEtu#pedir;;;;;;;;;;;;
conjugar,#konjuga#,conjugo,#konjugu#;;;;;;conjugar,#konjuga#,conjugo,#konjugu#;;;;;;;;;;;;;;;;;;;;;;;;;;;
plantar,#planta#,planto,#plantu#;;;;;;plantar,#planta#,planto,#plantu#;;;;;;;;;;;;;;;;;;;;;;;;;;;
entreter,#entrete#,entretenho,#entreteniu#;;;;;;enviar,#envia#,envio,#enviu#;;;;;;;;;;;;;;;;;;;;;;;;;;;
enviar,#envia#,envio,#enviu#;;;;;;crescer,#krese#,cresso,#kresu#;;;;;;;;;;;;;;;;;;;;;;;;;;;
crescer,#krese#,cresso,#kresu#;;;;;;andar,#anda#,ando,#andu#;;;;;;;;;;;;;;;;;;;;;;;;;;;
